Entity, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Base Currency, Plan Type (Consol), Aggregation (Consol), Data Storage (Consol), Formula (Consol), Solve Order (Consol), Formula Description (Consol), Plan Type (Rates), Aggregation (Rates), Data Storage (Rates), Formula (Rates), Solve Order (Rates), Formula Description (Rates), Intercompany Entity, Operation
APP_ELP,El Paso,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d395b387-c95a-4467-9a8f-d17de27b3925,620747581638241,APP_ELP,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_033,I/C East & West,BPS - MacPherson Oil Warehouse,false,never share,false,BPS - MacPherson Oil Warehouse,<none>,<none>,,,unspecified,none,,,,false,true,ef81db92-cc75-427d-bef3-201cbe8de481,4113603669215329,01_033,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Monumental Rollup,I/C East & West,Monumental Rollup,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,5d93f79a-33b2-4b4a-b5e3-072d0b328179,148070346475860,Monumental Rollup,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
MSC,Monumental Rollup,Monumental - Phocas,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,71fdd00f-3473-4b3f-ae14-0d0d984189d8,1262631963807741,MSC,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1,MSC,Baltimore,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,9078e0c3-fa60-4356-a583-87e8e8854f72,635407758478743,1,[MSC].[1],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
4,MSC,ELE-B4,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,087faace-2651-4bd5-bc39-4b70d3402376,2390107405108270,4,[MSC].[4],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
5,MSC,ELE-B5,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,4df52956-277c-4b8d-b69e-fe87aba31fb7,3569744957754645,5,[MSC].[5],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
9,MSC,ATLC,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,139e9400-f221-4023-9b81-f0363f29d04a,1500356764581986,9,[MSC].[9],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
14,MSC,ATLC-WEST,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,47458e6a-ba43-4fdf-9c2a-5e686dc9cc16,3619718753568619,14,[MSC].[14],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
7,MSC,MBE,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1e60882d-a535-4213-9bac-6a491b8549d6,942202053478982,7,[MSC].[7],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
10,MSC,MONUMENTAL SUPPLY (FIRE-PROTECTION),false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c7dfd345-41c1-4f35-8768-544bca32f71a,3483874074970958,10,[MSC].[10],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
203,MSC,STNSMD,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0726dc49-4763-4e03-af53-6c9cc322865a,2951848829274662,203,[MSC].[203],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
204,MSC,STNCSR,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,eba6721e-2f87-4282-a5ea-49871439385c,986936311238297,204,[MSC].[204],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
2,MSC,CORP-EXP,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,91673ed5-337c-470b-878f-57bbb2afddc0,4297878850453915,2,[MSC].[2],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
15,MSC,ATLC-PIPE,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c588dabf-ccbe-4382-a4d2-5ec100da5b02,3924781841466869,15,[MSC].[15],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
51,MSC,MONUMENTAL ELEV BR 51,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,add88605-f2d7-4376-a1f5-819d516a7f48,1397261412092139,51,[MSC].[51],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
8,MSC,GOVERNMENT,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,79a98f4e-c81f-4a49-9d8c-25b496c2722a,3587854270352417,8,[MSC].[8],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
6,MSC,ELE-B6,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,32445419-7e1e-4696-ac18-6927d3c4e8ea,1814998154757299,6,[MSC].[6],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
12,MSC,BACLEANLINE,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,43f8d15d-9bc0-423d-a535-453420916063,2932201944403415,12,[MSC].[12],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
13,MSC,BACSTOCKROOM,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0800e5bf-38dd-4f46-a074-93c59d06fe09,463948049697280,13,[MSC].[13],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
17,MSC,DAVIDSON INV TRACKING,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b7b47f71-ce66-4b80-baa3-546fdea434b9,2162753233109951,17,[MSC].[17],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
18,MSC,GILMOUR INV TRACKING,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,cd84a70c-39c3-4134-80d5-ec1aa68622a3,1560708102834065,18,[MSC].[18],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
50,MSC,Monumental Elevator - Las Vegas,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c955dee1-5024-409e-964c-df8a18a9bd0e,1797073337405090,50,[MSC].[50],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
20,MSC,SIATA,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,4d3008b7-070f-46af-8167-e445ef1f8475,3172155071152613,20,[MSC].[20],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
202,MSC,TBD,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,446fc6a5-f35d-41ba-84cc-b1ef42b737de,4162811850146896,202,[MSC].[202],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
205,MSC,STN20M,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,5e5fee47-7eb7-4dce-bd11-a95aad98c59c,2198984597784706,205,[MSC].[205],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
3,MSC,VMI-BR3,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,7bbac6ef-0d93-4c10-810d-e83266336e91,2064539670954387,3,[MSC].[3],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
201,MSC,STNLLR,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,70d43358-a6a2-41a8-bbd3-acc0ffa92dc4,303609587122715,201,[MSC].[201],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
Mon_01,Monumental Rollup,Monumental,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,2b5e1f77-23f5-4543-883b-c2f46b342e09,565947783333620,Mon_01,[Monumental Rollup].[Mon_01],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
4A,I/C East & West,Sentinel Cymric,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,2f0ecef4-558a-4b4e-a61f-040fdf056509,3314080780338518,4A,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
6B,I/C East & West,Sentinel Peak,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,6d047cdb-09d1-4be1-81c1-95d14423f9b2,2418258968986000,6B,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_001,I/C East & West,BPS - SHAFTER,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,8ce83980-25f0-471b-986b-12ff17b80dfb,3622176996148597,01_001,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_001S,01_001,BPS - SHAFTER2,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,3f6c8bd5-dbec-4014-9703-1f0b30e5cae0,4436370867898016,01_001S,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1C,01_001,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1ebd5759-3ae5-4dff-b910-097bcfd83b54,1066484708296761,1C,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1E,01_001,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,03438cfb-93f8-4c3f-a0c8-8ebf5f8586f4,3301002953248646,1E,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1AM,01_001,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,6cd0eb4e-4252-4fea-99ea-68e2515a0e8e,3866817801569800,1AM,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1G,01_001,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d0a50f23-ac7c-4755-b152-47f91e0beab6,1131698595119543,1G,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1B,01_001,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,e2a995d4-4c3f-4740-9311-a4500b63696c,3758334321248270,1B,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1D,01_001,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1488998e-b641-4b9d-8714-6b42ee966b32,4201177103945003,1D,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1F,01_001,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b1623f8e-4f6b-4251-9dd2-652056408719,2875719037437129,1F,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1BKR,01_001,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,083c3109-c88e-433f-a3d8-973652a929ad,3570397324857271,1BKR,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
2A,01_001,BPS Cons,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d992ed79-3511-435a-b052-6c93d87da3ba,3404956951465669,2A,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
90,01_001,TBM Supply,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,57700ca8-75d9-4f02-9444-bf57e41bb1ed,1066671591278899,90,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
98,01_001,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,4642248c-0bde-4545-9449-87167f0284bb,3599474894652129,98,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_014,I/C East & West,BPS - MODESTO,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,279e0b52-78fe-4e14-8164-26b6a3c243b6,1221119840503262,01_014,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_019,I/C East & West,BPS - Eng'd Products,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,f671b690-1150-4e38-b98e-77796622fa74,3378473558360168,01_019,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
19EP,01_019,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,4ec668f5-1dbd-4993-800a-e59b6f2fb630,1013496359702428,19EP,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_019EngProd,01_019,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,30d2bc28-2b7b-4525-8331-cef897ab4651,3199881403911292,01_019EngProd,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
19V,01_019,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,f0d4f50b-22bf-4bd7-a490-56ca021d5baa,1059281232479825,19V,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
19,01_019,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,ada52755-5eac-4837-8434-9f445e7f1247,3709570442412718,19,[01_019].[19],USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
99,01_019,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c2904af9-48ac-47ad-8791-247e4ea05194,265057101759083,99,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_029,I/C East & West,BPS - Energy Segment,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,a5528506-b581-46c8-aadc-b3e18a6e3efb,2284292067380600,01_029,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1A,I/C East & West,Mac Oil,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c0bb0494-813d-49e6-8b87-e443f7a7cc4a,938777859083674,1A,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Kern Oil Parent,I/C East & West,Kern Oil Parent,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,7ebeab35-6d12-43f6-93a2-530bc32f9849,2206275088894517,Kern Oil Parent,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
1K,Kern Oil Parent,Kern Oil,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,2355a4b8-3d97-4451-b97e-f0c3dcc41af1,263283635866229,1K,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1KO,Kern Oil Parent,Kern Oil Vendor Owned,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,28df500e-876e-4d73-aa00-246726b8dff3,4099611300089573,1KO,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_015,I/C East & West,Houston,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,e6c9c906-36e9-40ea-b850-58281766126e,1864892694610164,01_015,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_015Houston,01_015,BPS - HOUSTON,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,19ebdb87-349a-4a12-9a01-b2a290960dc6,1604013835307267,01_015Houston,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1501,01_015,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,000343e0-8e1f-4802-aaf5-c5048bc6ab0e,1270015033560455,1501,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
1502,01_015,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,2eaab1d5-685a-4507-8f3f-f5d936b1b7a8,4160650081748966,1502,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
15A,01_015,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b068c620-8198-4423-bc2b-4d777aa9775e,3618227255725198,15A,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
15L,01_015,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,11127a71-3654-4ade-9c18-1d2384ab630a,3608103499484555,15L,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
15C,01_015,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,86657881-5c52-4fa2-9a14-2ef8c777ca3a,1579379207981335,15C,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
15V,01_015,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,df4527af-b638-476f-8f7c-c93e2f91c05e,2750748407385297,15V,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
15G,01_015,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,2d6e279a-0365-418c-a550-513ff0d33c43,3390988852675485,15G,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_015A,01_015,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,e00f7ea2-36be-49fb-96ed-dddd665ad49f,1288654717275147,01_015A,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Houston Actuation,I/C East & West,Houston Actuation,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1e81de91-5f79-45ac-8fa7-dfd5a8c1477d,2228994302691185,Houston Actuation,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
19A,Houston Actuation,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,7a8c9550-deed-4da5-9981-39815ef87777,3116801331972804,19A,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
I/C Central,Industrial Segment,I/C Central,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,951e1e22-5827-46ac-b9b5-c3ebf4eda25d,3086647292151715,I/C Central,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
Cohn_Gregory,I/C Central,Cohn & Gregory,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,8aa804b5-9903-48ee-8626-c2b4aa02ddbd,4174304515866632,Cohn_Gregory,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
Fort Worth,Cohn_Gregory,Fort Worth,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b3882218-3c07-42a1-854a-8c8be8ce8011,1145590312750639,Fort Worth,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01,Fort Worth,Fort Worth - Branch,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b25b27a4-dbf0-476a-872a-d9854a52d07c,3606072435427786,01,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
01_CG,Fort Worth,Fort Worth Retained Earnings,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1162aeb6-410d-437a-986c-0236f7b4af53,2753073182624569,01_CG,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
Cleburne,Cohn_Gregory,Cleburne,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,70b33305-1428-4338-8374-ada4f8465468,679416356160568,Cleburne,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
02,Cleburne,Cleburne - Branch,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,50fa1b6a-b4f5-4efb-94d6-82b6a8490dfb,3648145084792959,02,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
02_CG,Cleburne,Cleburne Retained Earnings,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,a22a8c42-8875-4b24-9caf-fa57e2130f3d,152047307933348,02_CG,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
Lavon,Cohn_Gregory,Lavone,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,dcc2b7ec-1ea1-49ab-b228-307cf6085b2e,1726876078526246,Lavon,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
03,Lavon,Lavon - Branch,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,7c398bcc-00cf-47b1-b3e1-99c4054aaf67,2765644789861863,03,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
03_CG,Lavon,Lavon Retained Earnings,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b0ed6d56-4269-4887-87d4-4ae7b8a05921,3549036389155525,03_CG,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
Sherman,Cohn_Gregory,Sherman,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d6be6c19-6f1b-4c2f-8f74-ba8012638bcc,3241272826283724,Sherman,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
04,Sherman,Sherman - Branch,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,3df57c4e-c4f3-4ed9-a413-aed9cb604eb7,499436482611969,04,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
04_CG,Sherman,Sherman Retained Earnings,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,cdc1b7f7-b9e6-4281-ae3b-5247a7b93fd3,3006528072470101,04_CG,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
Paris,Cohn_Gregory,Paris,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b42621a4-e78a-47e9-aa2a-e9c7a7a3ff0d,278968103489363,Paris,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
05,Paris,Paris - Branch,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,746aaf56-4148-4e28-8904-4c6323c4efbf,4112345376572277,05,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
05_CG,Paris,Paris Retained Earnings,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,5324129a-3835-4edc-8493-c76eb515312b,1216118026946400,05_CG,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Waco,Cohn_Gregory,Waco,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0a0b3c30-71c9-4cba-8369-e770c3b3b439,4364935658360760,Waco,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
06,Waco,Waco - Branch,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,68136222-76bc-420f-9636-ed4bd5986233,1193294110543643,06,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
06_CG,Waco,Waco Retained Earnings,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b37bd9cb-beeb-4022-b41f-71d85c346f61,4359967767743785,06_CG,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Houston_CG,Cohn_Gregory,Houston_CG,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,6ad58a9e-e0fb-4c0e-a780-e79928c18bda,3333617737286820,Houston_CG,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
07,Houston_CG,Houston - Branch,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,76ab162f-1133-41be-9eba-a86bcd14dae1,3125140078481332,07,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
07_CG,Houston_CG,Houston Retained Earnings,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,ea7a06de-c6d3-4dd0-bae5-5b757b34cf5f,4315668862222336,07_CG,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Joe White Tank,Cohn_Gregory,Joe White Tank,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,2ee888ba-5aca-4498-85da-e3049eb5113c,1660366123319453,Joe White Tank,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_JWT,Joe White Tank,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,a970dd46-9d1f-40cb-8c8a-f57747efe853,1182374094390896,01_JWT,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
02_JWT,Joe White Tank,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,e8bc2cf8-a9fb-477c-b5e4-c96f775100a6,100140234129452,02_JWT,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
03_JWT,Joe White Tank,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,97ca786e-6c65-45ca-8aad-9fdcf630a162,4249586305744941,03_JWT,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
C&G Corporate,Cohn_Gregory,C&G Corporate,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,281f29a1-de44-45ed-ac1b-4dc0033e23f1,1169653838925694,C&G Corporate,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
00_CG,C&G Corporate,00_CG,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,ac8e599d-0f18-46e1-9690-0237630b59d2,4384476238923821,00_CG,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,ICP_Entity_Yes,
Energy Segment,FCCS_Total Geography,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,35bab6bd-3da0-4f32-b84a-f3e56cabe1a3,2056663644915945,Energy Segment,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
01_016,Energy Segment,Stanley,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,60d758db-b752-42e1-930b-1994ff510b80,1887519963958012,01_016,<none>,USD,true,~,never share,<none>,0,,true,~,never share,<none>,0,,,
